Time	B	NK	Total CD4	Naive CD4	CM CD4	EM CD4	Total CD8	Naive CD8	CM CD8	EM CD8	Total Monos	CD14+CD16-	CD14+CD16+	CD14-CD16+
0	178.81	135.15	824.54	459.27	361.97	1.48	285.33	172.91	73.33	37.66	292.36	287.39	3.48	1.37
3	138.48	327.67	952.01	581.68	364.62	2.95	405.17	258.91	72.53	70.50	435.92	428.51	5.14	2.22
9	10.47	48.43	193.79	84.88	107.17	0.87	56.49	15.93	14.91	24.40	174.47	149.52	20.76	4.15
14	71.00	236.26	642.81	503.96	126.63	7.91	575.15	208.20	155.87	191.52	210.33	197.29	11.88	1.26
21	60.68	193.39	304.48	185.74	116.62	0.73	457.12	86.85	125.71	237.70	417.31	399.37	13.15	3.51
35	69.73	139.41	352.57	253.50	96.96	0.85	314.34	128.88	85.82	91.47	639.49	617.11	16.63	5.50
56	68.56	290.35	309.29	222.07	84.75	1.08	374.67	112.03	74.56	180.22	561.57	501.48	49.81	10.50
76	67.36	137.32	131.24	77.56	52.36	0.73	148.99	28.46	47.53	69.73	685.82	646.73	35.66	3.63
92	65.53	338.03	263.87	200.54	61.74	0.82	261.09	74.15	61.36	118.01	420.38	383.81	32.29	4.12
98	49.93	230.51	232.34	170.54	60.64	0.93	244.14	80.32	68.60	95.21	342.60	321.70	14.80	6.24
120	99.89	274.64	263.41	186.50	74.55	1.03	323.33	97.32	95.38	122.54	367.05	348.33	15.97	1.84
148	125.67	435.41	247.77	171.46	73.34	1.36	407.66	77.86	113.74	207.09	402.17	347.88	43.84	9.21
168	127.48	390.11	279.12	211.57	64.75	1.40	388.52	116.56	93.63	169.78	432.64	373.80	51.05	6.75
182	77.90	82.23	112.01	78.30	33.16	0.18	137.18	29.77	40.60	64.20	168.68	148.94	17.04	2.73
189	144.97	320.28	293.66	218.48	73.71	0.29	381.52	102.25	115.60	156.42	405.92	371.41	26.43	8.20
210	201.54	320.42	232.71	159.17	71.21	1.30	404.62	65.95	103.18	227.80	436.43	345.65	65.03	25.62
238	358.83	381.58	285.93	188.71	95.21	0.51	357.77	66.19	73.70	210.73	745.76	459.39	171.52	114.85
260	203.09	81.83	113.08	73.50	38.45	0.57	125.75	19.87	54.83	48.79	784.68	681.10	74.86	29.03
