Time	Mean	Median	Upper	Lower
373	39141.52333	24085.49813	164808.5025	4682.938319
368.8191202	40619.95283	28644.21789	144391.6405	8623.462939
364.6382404	39800.50063	29162.53281	130896.5849	9238.801947
360.4573606	38737.12563	29396.10091	123794.2388	9556.149897
356.2764808	38532.61854	29761.18719	118354.412	9585.865357
352.095601	36943.18056	28871.50732	108943.0721	10113.20736
347.9147212	34397.6991	27475.14121	97283.04054	9581.729524
343.7338415	31494.68282	25596.98251	88034.35176	8769.501717
339.5529617	28183.73334	22795.05175	80038.5537	7503.039941
335.3720819	24548.88728	19935.18565	69640.25627	6712.546259
331.1912021	21159.63839	17218.30913	61104.20366	5908.362076
327.0103223	17919.98115	14553.00511	52119.56916	4968.136303
322.8294425	15079.67326	12191.74825	43654.44376	4152.033437
318.6485627	12654.19318	10319.33113	35559.3389	3514.684779
314.4676829	10536.64121	8716.339362	29515.61419	3055.249339
310.2868031	8823.792732	7213.61376	24462.70856	2562.617429
306.1059233	7473.361274	6202.525963	20209.21071	2202.140398
301.9250435	6375.526704	5345.130988	16622.76982	1939.811323
297.7441637	5493.824944	4627.64784	14680.98849	1670.643882
293.5632839	4720.46155	3969.404223	12381.29801	1483.470326
289.3824041	4141.532816	3516.281232	10638.45772	1320.725828
285.2015244	3598.891027	3064.671188	9019.886956	1169.859703
281.0206446	3129.81624	2654.43349	8046.384147	1023.763842
276.8397648	2720.350746	2336.001657	6914.619484	876.788202
272.658885	2384.230055	2051.834144	5943.290267	800.3238252
268.4780052	2115.651504	1802.182856	5425.337182	694.6161339
264.2971254	1846.428209	1565.876075	4738.812827	611.7885573
260.1162456	1620.693078	1386.78953	4045.033675	526.0008616
255.9353658	1413.984464	1202.175238	3579.906694	453.5342005
251.754486	1232.438342	1052.40027	3207.72713	388.038482
247.5736062	1077.283204	911.6905553	2826.288646	335.951996
243.3927264	938.9595047	805.6675025	2421.260692	295.5783624
239.2118466	810.2472076	693.3215946	2073.190183	249.3952153
235.0309668	690.5537205	586.7669197	1824.928416	212.2232449
230.850087	591.1434698	505.5812568	1552.534685	182.4881597
226.6692073	503.8099272	431.4536972	1257.247095	163.3403556
222.4883275	446.3646709	387.5668745	1075.150922	141.5237234
218.3074477	414.3994352	352.7908805	1026.641194	132.3740418
214.1265679	411.4845952	340.6517664	1089.400308	124.2807027
209.9456881	453.5034514	359.1485773	1389.348033	122.5113744
205.7648083	570.9280621	418.3625994	1934.036411	127.0460886
201.5839285	806.0771642	568.7179331	2837.126394	146.6275833
197.4030487	1186.291613	889.0756442	3943.565302	194.7106134
193.2221689	1744.871287	1417.27274	5221.141249	332.8856155
189.0412891	2421.983658	2049.164247	6271.982421	673.1913111
184.8604093	3127.248195	2714.69875	7468.848719	1091.300078
180.6795295	4194.639135	3668.822896	9716.239217	1687.518836
176.4986497	5709.74267	5052.505795	12843.61654	2274.33177
172.31777	6559.143919	5740.62776	15447.32652	2534.821131
168.1368902	6781.304523	5939.512908	15992.06552	2557.14325
163.9560104	6489.608648	5629.302088	15650.50913	2399.675379
159.7751306	5893.170852	5068.748411	14402.86788	2073.653983
155.5942508	5087.598373	4420.048994	12263.85559	1845.470525
151.413371	4282.391445	3726.968592	10479.01459	1500.135391
147.2324912	3536.49127	3095.085595	8502.576446	1270.185313
143.0516114	2860.802433	2481.454824	6884.071928	1037.147274
138.8707316	2321.949379	2055.121013	5399.268968	843.8382875
134.6898518	1873.255834	1656.321697	4395.722097	704.2558128
130.508972	1529.838708	1356.217589	3475.065504	573.867957
126.3280922	1273.188967	1137.456526	2845.593807	485.7121953
122.1472124	1075.417773	971.1495913	2345.656767	417.8023534
117.9663326	933.6898948	834.990899	2058.376554	373.616435
113.7854529	814.9027083	734.932926	1773.89914	315.4818878
109.6045731	727.3261722	645.1820306	1664.55873	290.454795
105.4236933	662.1047026	593.7832092	1496.895399	248.8482967
101.2428135	643.1992352	571.3685369	1447.183809	240.5954769
97.06193368	689.9557915	613.5791944	1556.293765	248.2516779
92.88105389	1319.911849	1194.871945	2862.467587	540.1570647
88.7001741	2408.44811	2192.646603	5030.034109	1079.714531
84.5192943	3056.887575	2737.042022	6620.359324	1269.625248
80.33841451	3289.945175	2915.423251	7336.166593	1293.761194
76.15753472	3164.619307	2809.65121	6946.005475	1243.413444
71.97665493	2787.639781	2451.14825	6361.61909	1068.055634
67.79577513	2322.936384	2071.293068	5280.507262	869.3795275
63.61489534	1847.185869	1647.336069	4209.372933	710.0612436
59.43401555	1435.445803	1277.538926	3248.764509	544.8259102
55.25313576	1092.142059	974.1875537	2476.852623	423.4084266
51.07225596	826.5930712	737.9714032	1822.588078	312.8169816
46.89137617	623.9406973	564.9870254	1350.382151	241.9359042
42.71049638	478.9168973	430.0539936	1034.8492	185.6169906
38.52961659	392.6184842	355.6158906	867.3398543	150.1978323
34.34873679	362.1254816	331.6524776	739.0493156	156.3727642
30.167857	375.2855364	343.8701321	765.8663985	161.965587
25.98697721	558.8270965	496.6578101	1244.306455	212.0161786
21.80609741	1123.012788	1029.198194	2352.9882	478.2960946
17.62521762	1836.360479	1699.209356	3636.691696	838.0161454
13.44433783	1985.857304	1816.997839	4183.628036	876.6414898
9.263458036	1800.793229	1630.759246	3920.480851	748.3250019
5.082578244	1538.127167	1373.74725	3459.43131	609.7391001
0.901698451	1287.313004	1139.323672	3010.303627	466.5276079
-3.279181342	1032.525243	904.846961	2459.767213	361.0965111
-7.460061134	807.8175722	701.7960349	1925.421305	266.0232015
-11.64094093	622.6493058	536.4391064	1570.340939	181.4725135
-15.82182072	460.8443138	390.5851015	1216.547933	125.0016172
-20.00270051	338.4635688	278.1203749	961.697363	81.11279
-24.18358031	244.6618926	197.3169935	730.9047378	50.69295765
-28.3644601	174.6658357	136.4749279	554.2639693	30.34258165
-32.54533989	123.1096428	92.85710915	401.9378475	19.46146761
-36.72621968	85.74337667	62.92977859	303.2000116	12.66226916
-40.90709948	62.98778628	45.97284805	222.7597795	9.212606941
